date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:15:52	40905/40905	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Sep%202025%2008:15:51%20GMT	https://www.purview-genesisgroup.com/pages/purview-homes-designs-limited	/home/user/websites/aa/www.purview-genesisgroup.com/pages/purview-homes-designs-limited.html	(from https://www.purview-genesisgroup.com/)
14:15:53	42122/42122	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Sep%202025%2008:15:52%20GMT	https://www.purview-genesisgroup.com/pages/purview-condominiums-ltd	/home/user/websites/aa/www.purview-genesisgroup.com/pages/purview-condominiums-ltd.html	(from https://www.purview-genesisgroup.com/)
14:15:54	30284/30284	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Sep%202025%2008:15:53%20GMT	https://www.purview-genesisgroup.com/pages/purview-swiftshop	/home/user/websites/aa/www.purview-genesisgroup.com/pages/purview-swiftshop.html	(from https://www.purview-genesisgroup.com/)
14:15:55	63643/63643	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Sep%202025%2008:15:54%20GMT	https://www.purview-genesisgroup.com/blogs/immigration-consultancy-interior-design-industrial-catering-blog	/home/user/websites/aa/www.purview-genesisgroup.com/blogs/immigration-consultancy-interior-design-industrial-catering-blog.html	(from https://www.purview-genesisgroup.com/)
14:16:17	95745/95745	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2029%20Sep%202025%2008:15:57%20GMT	http://d2wvwvig0d1mx7.cloudfront.net/data/org/23240/media/img/cache/1900x0/2447041_1900x0.jpg	/home/user/websites/aa/d2wvwvig0d1mx7.cloudfront.net/data/org/23240/media/img/cache/1900x0/2447041_1900x0.jpg	(from https://www.purview-genesisgroup.com/)
14:16:21	216199/216199	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2029%20Sep%202025%2008:15:55%20GMT	http://d2wvwvig0d1mx7.cloudfront.net/data/org/23240/media/img/cache/1900x0/2447039_1900x0.jpg	/home/user/websites/aa/d2wvwvig0d1mx7.cloudfront.net/data/org/23240/media/img/cache/1900x0/2447039_1900x0.jpg	(from https://www.purview-genesisgroup.com/)
14:16:28	1245/1245	---M--	200	added ('OK')	image/png	etag:%229a9badf95e25599cfb239c8b3a2b99cc%22	http://s3-ap-southeast-1.amazonaws.com/assets-powerstores-com/data/org/23240/theme/37906/img/img1.png	/home/user/websites/aa/s3-ap-southeast-1.amazonaws.com/assets-powerstores-com/data/org/23240/theme/37906/img/img1.png	(from https://www.purview-genesisgroup.com/)
14:16:29	130012/130012	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2029%20Sep%202025%2008:15:59%20GMT	http://d2wvwvig0d1mx7.cloudfront.net/data/org/23240/media/img/cache/1900x0/2447042_1900x0.jpg	/home/user/websites/aa/d2wvwvig0d1mx7.cloudfront.net/data/org/23240/media/img/cache/1900x0/2447042_1900x0.jpg	(from https://www.purview-genesisgroup.com/)
14:16:32	1191/1191	---M--	200	added ('OK')	image/png	etag:%22336ece101d7e5165204365584e56b004%22	http://s3-ap-southeast-1.amazonaws.com/assets-powerstores-com/data/org/23240/theme/37906/img/img3.png	/home/user/websites/aa/s3-ap-southeast-1.amazonaws.com/assets-powerstores-com/data/org/23240/theme/37906/img/img3.png	(from https://www.purview-genesisgroup.com/)
14:16:35	4753/4753	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2029%20Sep%202025%2008:16:32%20GMT	http://d2wvwvig0d1mx7.cloudfront.net/data/org/23240/media/img/cache/217x0/2437076_217x0.jpg	/home/user/websites/aa/d2wvwvig0d1mx7.cloudfront.net/data/org/23240/media/img/cache/217x0/2437076_217x0.jpg	(from https://www.purview-genesisgroup.com/)
14:16:39	176255/176255	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2029%20Sep%202025%2008:15:56%20GMT	http://d2wvwvig0d1mx7.cloudfront.net/data/org/23240/media/img/cache/1900x0/2447040_1900x0.jpg	/home/user/websites/aa/d2wvwvig0d1mx7.cloudfront.net/data/org/23240/media/img/cache/1900x0/2447040_1900x0.jpg	(from https://www.purview-genesisgroup.com/)
14:16:39	3903/3903	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2029%20Sep%202025%2008:16:36%20GMT	http://d2wvwvig0d1mx7.cloudfront.net/data/org/23240/media/img/cache/217x0/2437075_217x0.jpg	/home/user/websites/aa/d2wvwvig0d1mx7.cloudfront.net/data/org/23240/media/img/cache/217x0/2437075_217x0.jpg	(from https://www.purview-genesisgroup.com/)
14:16:43	3523/3523	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2029%20Sep%202025%2008:16:40%20GMT	http://d2wvwvig0d1mx7.cloudfront.net/data/org/23240/media/img/cache/217x0/2437074_217x0.jpg	/home/user/websites/aa/d2wvwvig0d1mx7.cloudfront.net/data/org/23240/media/img/cache/217x0/2437074_217x0.jpg	(from https://www.purview-genesisgroup.com/)
14:16:45	5749/5749	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2029%20Sep%202025%2008:16:41%20GMT	http://d2wvwvig0d1mx7.cloudfront.net/data/org/23240/media/img/cache/217x0/2437073_217x0.jpg	/home/user/websites/aa/d2wvwvig0d1mx7.cloudfront.net/data/org/23240/media/img/cache/217x0/2437073_217x0.jpg	(from https://www.purview-genesisgroup.com/)
14:16:47	4354/4354	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2029%20Sep%202025%2008:16:43%20GMT	http://d2wvwvig0d1mx7.cloudfront.net/data/org/23240/media/img/cache/217x0/2439427_217x0.jpg	/home/user/websites/aa/d2wvwvig0d1mx7.cloudfront.net/data/org/23240/media/img/cache/217x0/2439427_217x0.jpg	(from https://www.purview-genesisgroup.com/)
14:16:49	3684/3684	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2029%20Sep%202025%2008:16:45%20GMT	http://d2wvwvig0d1mx7.cloudfront.net/data/org/23240/media/img/cache/217x0/2439428_217x0.jpg	/home/user/websites/aa/d2wvwvig0d1mx7.cloudfront.net/data/org/23240/media/img/cache/217x0/2439428_217x0.jpg	(from https://www.purview-genesisgroup.com/)
14:16:51	5023/5023	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2029%20Sep%202025%2008:16:47%20GMT	http://d2wvwvig0d1mx7.cloudfront.net/data/org/23240/media/img/cache/217x0/2440317_217x0.jpg	/home/user/websites/aa/d2wvwvig0d1mx7.cloudfront.net/data/org/23240/media/img/cache/217x0/2440317_217x0.jpg	(from https://www.purview-genesisgroup.com/)
